Title,Genre,Description,Type,imdbRating
Toy Story,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,movie,8.3
Toy Story 3,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",movie,8.3
Toy Story 2,"Animation, Adventure, Comedy","When Woody is stolen by a toy collector, Buzz and his friends vow to rescue him, but Woody finds the idea of immortality in a museum tempting.",movie,7.9
Perfume: The Story of a Murderer,"Crime, Drama, Fantasy","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent.",movie,7.5
Dodgeball: A True Underdog Story,"Comedy, Sport",A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,movie,6.7
It's Kind of a Funny Story,"Comedy, Drama, Romance",A clinically depressed teenager gets a new start after he checks himself into an adult psychiatric ward.,movie,7.2
A Christmas Story,"Comedy, Family","In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift.",movie,8.0
The NeverEnding Story,"Adventure, Drama, Family",A troubled boy dives into a wondrous fantasy world through the pages of a mysterious book.,movie,7.4
West Side Story,"Crime, Drama, Musical","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",movie,7.6
The Rocky Horror Picture Show,"Comedy, Musical",A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,movie,7.4
The Amityville Horror,"Drama, Horror, Mystery",Newlyweds are terrorized by demonic forces after moving into a large house that was the site of a grisly mass murder a year before.,movie,6.0
The Amityville Horror,Horror,"Newlyweds move into a large house where a mass murder was committed, and experience strange manifestations which drive them away.",movie,6.2
Horror of Dracula,"Fantasy, Horror",Jonathan Harker begets the ire of Count Dracula after he accepts a job at the vampire's castle under false pretenses.,movie,7.4
Horror Express,"Horror, Sci-Fi","In 1906, in China, a British anthropologist discovers a frozen prehistoric creature and must transport it to Europe by train.",movie,6.5
A Christmas Horror Story,"Fantasy, Horror, Mystery","Interwoven stories that take place on Christmas Eve, as told by one festive radio host: A family brings home more than a Christmas tree, a student documentary becomes a living nightmare, a Christmas spirit terrorizes, Santa slays evil.",movie,5.6
