user,text,hashtags,retweet_count,user_mentions
angelarchie97,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
1pantonio,RETWEET: #Navidad2016 https://t.co/pduQjqxi2H,['#Navidad2016'],10,1
siciparty,#manualidades #arteypintura #actividadesdivertidas vidadesenelpiso #navidad2016 #ninosfelices #artenelpiso... https://t.co/CqAadWXuZT,"['#manualidades', '#arteypintura', '#actividadesdivertidas', '#navidad2016', '#ninosfelices', '#artenelpiso...']",0,0
El_Distrito,Con Videos:Los bomberos de la Comunidad de Madrid nos desean felices fiestas USER #navidad2016 #bomberos https://t.co/LfwSDwosIR,"['#navidad2016', '#bomberos']",0,1
KingGemaa,Tiempo de calidad con los mejores primos #Navidad2016 https://t.co/24kq5zRH5N,['#Navidad2016'],0,0
InvenciblesAmer,RETWEET: Feliz Navidad a todos nuestros lectores y seguidores #feliz avisad #Navidad #navidades #Navidad2016 https://t.co/rSwyn…,"['#feliz', '#Navidad', '#navidades', '#Navidad2016']",2,1
lilivero702011,RETWEET: #Navidad2016 https://t.co/pduQjqxi2H,['#Navidad2016'],10,1
LorenithaFtv,USER #LoMaximoMBD #Tablet #Navidad2016 USER USER USER USER USER #Vale #Tata https://t.co/s1n35kliRd,"['#LoMaximoMBD', '#Tablet', '#Navidad2016', '#Vale', '#Tata']",0,6
CEInvencibles,RETWEET: Feliz Navidad todos nuestros seguidores y lectores. #feliznavidad #Navidad2016 #NavidadSeTrataDe USER #pp http…,"['#feliznavidad', '#Navidad2016', '#NavidadSeTrataDe', '#pp']",1,2
GMAC_Venezuela,"Feliz Navidad 2016 USER 
¡Celébralo en grande, lleno de esperanza para un venturoso 2017!
#gmac… https://t.co/PSGYUHIuRH",['#gmac'],0,1
JuanUrrego20,#navidad2016 #familia https://t.co/5TvQCMgeLW,"['#navidad2016', '#familia']",0,0
LorenithaFtv,USER #LoMaximoMBD #Navidad2016 #QueremosTablet USER USER USER https://t.co/hDO19I8RZu,"['#LoMaximoMBD', '#Navidad2016', '#QueremosTablet']",0,4
TeamDGOsuna,RETWEET: USER descuibre que se queria llevar en esta #Navidad2016 ¡Chécalo! https://t.co/EZ3CUOoc74 https://t.co/9G7OQFBstk,['#Navidad2016'],14,2
ascardinca,"#Navidad2016 Trata de darte un respiro, relajarte y disfrutar un poco estos días. #EvitaElEstrés USER","['#Navidad2016', '#EvitaElEstrés']",0,1
blasa_estrada,RETWEET: En esta #Navidad2016 contempla en el #Pesebre la ternura y el gran amor De Dios por cada uno de los hombres #feliznavida…,"['#Navidad2016', '#Pesebre', '#feliznavida']",68,1
